FrameID,Uncompressed,Compressed_Mbytes,Compressed_Mbits_q=32
1,5.93,0.81,6.48
2,5.93,0.81,6.48
3,5.93,0.8,6.4
4,5.93,0.8,6.4
5,5.93,0.8,6.4
6,5.93,0.8,6.4
7,5.93,0.8,6.4
8,5.93,0.8,6.4
9,5.93,0.79,6.32
10,5.93,0.79,6.32
11,5.93,0.79,6.32
12,5.93,0.79,6.32
13,5.93,0.79,6.32
14,5.93,0.79,6.32
15,5.93,0.79,6.32
16,5.93,0.8,6.4
17,5.93,0.8,6.4
18,5.93,0.8,6.4
19,5.93,0.8,6.4
20,5.93,0.8,6.4
21,5.93,0.8,6.4
22,5.93,0.81,6.48
23,5.93,0.81,6.48
24,5.93,0.81,6.48
25,5.93,0.81,6.48
26,5.93,0.81,6.48
27,5.93,0.81,6.48
28,5.93,0.81,6.48
29,5.93,0.81,6.48
30,5.93,0.81,6.48
31,5.93,0.83,6.64
32,5.93,0.82,6.56
33,5.93,0.82,6.56
34,5.93,0.82,6.56
35,5.93,0.82,6.56
36,5.93,0.82,6.56
37,5.93,0.82,6.56
38,5.93,0.83,6.64
39,5.93,0.82,6.56
40,5.93,0.82,6.56
41,5.93,0.82,6.56
42,5.93,0.82,6.56
43,5.93,0.82,6.56
44,5.93,0.82,6.56
45,5.93,0.82,6.56
46,5.93,0.82,6.56
47,5.93,0.83,6.64
48,5.93,0.83,6.64
49,5.93,0.83,6.64
50,5.93,0.83,6.64
51,5.93,0.83,6.64
52,5.93,0.83,6.64
53,5.93,0.83,6.64
54,5.93,0.83,6.64
55,5.93,0.84,6.72
56,5.93,0.84,6.72
57,5.93,0.84,6.72
58,5.93,0.84,6.72
59,5.93,0.84,6.72
60,5.93,0.84,6.72
61,5.93,0.86,6.88
62,5.93,0.86,6.88
63,5.93,0.86,6.88
64,5.93,0.86,6.88
65,5.93,0.86,6.88
66,5.93,0.86,6.88
67,5.93,0.86,6.88
68,5.93,0.86,6.88
