frame_id,category,algorithm,section,latency,node_id,node_name
1,Scheduling,dynamic_round_robin,scheduling,84.59138870239258,60a35c66e03531831d1e8082,1
1,Pre-processing,N/A,preproc_det,20.934581756591797,-,-
1,Object Detection,YOLOv3,detection,35.952091217041016,-,-
1,from_numpy,YOLOv3,detection,0.05745887756347656,-,-
1,image4yolo,YOLOv3,detection,0.6930828094482422,-,-
1,pred,YOLOv3,detection,31.45575523376465,-,-
1,Extra Pipeline,PiH Candidate Selection,candidate_selection,8.458852767944336,-,-
1,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.03552436828613281,-,-
1,End-to-End,N/A,e2e_latency,88.27733993530273,60a35c66e03531831d1e8082,1
2,Scheduling,dynamic_round_robin,scheduling,67.63267517089844,60a35c66e03531831d1e8082,1
2,Pre-processing,N/A,preproc_det,19.865751266479492,-,-
2,Object Detection,YOLOv3,detection,25.476455688476562,-,-
2,from_numpy,YOLOv3,detection,0.03933906555175781,-,-
2,image4yolo,YOLOv3,detection,0.7464885711669922,-,-
2,pred,YOLOv3,detection,22.932052612304688,-,-
2,Extra Pipeline,PiH Candidate Selection,candidate_selection,13.388395309448242,-,-
2,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.025272369384765625,-,-
2,End-to-End,N/A,e2e_latency,80.59430122375488,60a35c66e03531831d1e8082,1
3,Scheduling,dynamic_round_robin,scheduling,88.87076377868652,60a35c66e03531831d1e8082,1
3,Pre-processing,N/A,preproc_det,19.53887939453125,-,-
3,Object Detection,YOLOv3,detection,16.885757446289062,-,-
3,from_numpy,YOLOv3,detection,0.0400543212890625,-,-
3,image4yolo,YOLOv3,detection,0.7185935974121094,-,-
3,pred,YOLOv3,detection,14.360904693603516,-,-
3,Extra Pipeline,PiH Candidate Selection,candidate_selection,3.3478736877441406,-,-
3,End-to-End,N/A,e2e_latency,50.60744285583496,60a35c66e03531831d1e8082,1
4,Scheduling,dynamic_round_robin,scheduling,88.98639678955078,60a35c66e03531831d1e8082,1
4,Pre-processing,N/A,preproc_det,19.748449325561523,-,-
4,Object Detection,YOLOv3,detection,14.875650405883789,-,-
,sorting,Sorting Network,scheduling,0.23317337036132812,-,-
4,from_numpy,YOLOv3,detection,0.03910064697265625,-,-
4,image4yolo,YOLOv3,detection,0.7250308990478516,-,-
4,pred,YOLOv3,detection,12.36724853515625,-,-
4,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.204273223876953,-,-
4,End-to-End,N/A,e2e_latency,50.016164779663086,60a35c66e03531831d1e8082,1
5,Scheduling,dynamic_round_robin,scheduling,89.01429176330566,60a35c66e03531831d1e8082,1
5,Pre-processing,N/A,preproc_det,19.36793327331543,-,-
5,Object Detection,YOLOv3,detection,16.70980453491211,-,-
5,from_numpy,YOLOv3,detection,0.038623809814453125,-,-
5,image4yolo,YOLOv3,detection,0.7119178771972656,-,-
5,pred,YOLOv3,detection,14.037847518920898,-,-
5,Extra Pipeline,PiH Candidate Selection,candidate_selection,8.066892623901367,-,-
5,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.025033950805664062,-,-
5,End-to-End,N/A,e2e_latency,61.048269271850586,60a35c66e03531831d1e8082,1
6,Scheduling,dynamic_round_robin,scheduling,89.13278579711914,60a35c66e03531831d1e8082,1
6,Pre-processing,N/A,preproc_det,19.57225799560547,-,-
6,Object Detection,YOLOv3,detection,16.67952537536621,-,-
6,from_numpy,YOLOv3,detection,0.0400543212890625,-,-
6,image4yolo,YOLOv3,detection,0.7252693176269531,-,-
6,pred,YOLOv3,detection,14.162063598632812,-,-
