frame_id,category,algorithm,section,latency,node_id,node_name
1,Zenoh,N/A,decoding_payload,2.9931068420410156,-,-
1,Zenoh,N/A,clean_decoded_payload,43.9910888671875,-,-
1,Zenoh,N/A,extract_img_data,11.662483215332031,-,-
1,Zenoh,N/A,decompress_img,44.347286224365234,-,-
1,Zenoh,N/A,zenoh_pubsub,11.318206787109375,-,-
1,Zenoh,N/A,compress_img,32.821,-,-
1,Scheduling,dynamic_round_robin,scheduling,83.02736282348633,60a607ed14b5aa0e1ef07e13,2
1,Pre-processing,N/A,preproc_det,11.593103408813477,-,-
1,Object Detection,YOLOv3,detection,33.63776206970215,60a607ed14b5aa0e1ef07e13,2
1,from_numpy,YOLOv3,detection,0.051021575927734375,60a607ed14b5aa0e1ef07e13,2
1,image4yolo,YOLOv3,detection,0.5087852478027344,60a607ed14b5aa0e1ef07e13,2
1,pred,YOLOv3,detection,30.158042907714844,60a607ed14b5aa0e1ef07e13,2
1,Extra Pipeline,PiH Candidate Selection,candidate_selection,6.166934967041016,-,-
1,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.04839897155761719,-,-
1,End-to-End,N/A,e2e_latency,72.80945777893066,60a607ed14b5aa0e1ef07e13,2
2,Zenoh,N/A,decoding_payload,0.9706020355224609,-,-
2,Zenoh,N/A,clean_decoded_payload,49.68762397766113,-,-
2,Pre-processing,N/A,preproc_det,17.984628677368164,-,-
,sorting,Sorting Network,scheduling,0.21719932556152344,-,-
2,Object Detection,YOLOv3,detection,30.74026107788086,60a607f714b5aa0e1ef07e14,3
2,from_numpy,YOLOv3,detection,0.05555152893066406,60a607f714b5aa0e1ef07e14,3
2,image4yolo,YOLOv3,detection,0.6651878356933594,60a607f714b5aa0e1ef07e14,3
2,pred,YOLOv3,detection,27.16684341430664,60a607f714b5aa0e1ef07e14,3
2,Extra Pipeline,PiH Candidate Selection,candidate_selection,7.143735885620117,-,-
2,Zenoh,N/A,extract_img_data,16.53456687927246,-,-
2,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.05793571472167969,-,-
2,End-to-End,N/A,e2e_latency,77.05092430114746,60a607f714b5aa0e1ef07e14,3
2,Zenoh,N/A,decompress_img,39.794206619262695,-,-
2,Zenoh,N/A,zenoh_pubsub,439.93353843688965,-,-
3,Pre-processing,N/A,preproc_det,12.243509292602539,-,-
2,Zenoh,N/A,compress_img,33.833,-,-
3,Object Detection,YOLOv3,detection,39.52312469482422,60a607e214b5aa0e1ef07e12,1
3,from_numpy,YOLOv3,detection,0.04887580871582031,60a607e214b5aa0e1ef07e12,1
3,image4yolo,YOLOv3,detection,0.6225109100341797,60a607e214b5aa0e1ef07e12,1
3,pred,YOLOv3,detection,35.820960998535156,60a607e214b5aa0e1ef07e12,1
3,Extra Pipeline,PiH Candidate Selection,candidate_selection,6.312370300292969,-,-
3,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.05364418029785156,-,-
3,End-to-End,N/A,e2e_latency,81.30884170532227,60a607e214b5aa0e1ef07e12,1
2,Scheduling,dynamic_round_robin,scheduling,50.0946044921875,60a607f714b5aa0e1ef07e14,3
3,Zenoh,N/A,decoding_payload,3.0443668365478516,-,-
3,Zenoh,N/A,clean_decoded_payload,43.60079765319824,-,-
3,Zenoh,N/A,extract_img_data,16.74056053161621,-,-
4,Pre-processing,N/A,preproc_det,17.99941062927246,-,-
,sorting,Sorting Network,scheduling,0.1354217529296875,-,-
4,Object Detection,YOLOv3,detection,23.2698917388916,60a607ed14b5aa0e1ef07e13,2
4,from_numpy,YOLOv3,detection,0.03409385681152344,60a607ed14b5aa0e1ef07e13,2
4,image4yolo,YOLOv3,detection,0.5116462707519531,60a607ed14b5aa0e1ef07e13,2
4,pred,YOLOv3,detection,21.175146102905273,60a607ed14b5aa0e1ef07e13,2
4,Extra Pipeline,PiH Candidate Selection,candidate_selection,8.040189743041992,-,-
3,Zenoh,N/A,decompress_img,37.38117218017578,-,-
4,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.022411346435546875,-,-
4,End-to-End,N/A,e2e_latency,76.51591300964355,60a607ed14b5aa0e1ef07e13,2
3,Zenoh,N/A,zenoh_pubsub,615.6892776489258,-,-
3,Zenoh,N/A,compress_img,33.684,-,-
3,Scheduling,dynamic_round_robin,scheduling,43.75171661376953,60a607e214b5aa0e1ef07e12,1
5,Pre-processing,N/A,preproc_det,18.708467483520508,-,-
5,Object Detection,YOLOv3,detection,21.985530853271484,60a607f714b5aa0e1ef07e14,3
5,from_numpy,YOLOv3,detection,0.03170967102050781,60a607f714b5aa0e1ef07e14,3
5,image4yolo,YOLOv3,detection,0.6628036499023438,60a607f714b5aa0e1ef07e14,3
5,pred,YOLOv3,detection,19.887447357177734,60a607f714b5aa0e1ef07e14,3
4,Zenoh,N/A,decoding_payload,4.7130584716796875,-,-
5,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.116296768188477,-,-
5,End-to-End,N/A,e2e_latency,64.35823440551758,60a607f714b5aa0e1ef07e14,3
4,Zenoh,N/A,clean_decoded_payload,51.63717269897461,-,-
4,Zenoh,N/A,extract_img_data,16.40462875366211,-,-
4,Zenoh,N/A,decompress_img,36.04841232299805,-,-
4,Zenoh,N/A,zenoh_pubsub,767.9944038391113,-,-
6,Pre-processing,N/A,preproc_det,19.399642944335938,-,-
,sorting,Sorting Network,scheduling,0.11181831359863281,-,-
6,Object Detection,YOLOv3,detection,23.832321166992188,60a607e214b5aa0e1ef07e12,1
4,Zenoh,N/A,compress_img,57.216,-,-
6,from_numpy,YOLOv3,detection,0.03790855407714844,60a607e214b5aa0e1ef07e12,1
6,image4yolo,YOLOv3,detection,0.6849765777587891,60a607e214b5aa0e1ef07e12,1
6,pred,YOLOv3,detection,21.456241607666016,60a607e214b5aa0e1ef07e12,1
6,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.177331924438477,-,-
6,End-to-End,N/A,e2e_latency,66.85590744018555,60a607e214b5aa0e1ef07e12,1
4,Scheduling,dynamic_round_robin,scheduling,73.4872817993164,60a607ed14b5aa0e1ef07e13,2
5,Zenoh,N/A,decoding_payload,0.8864402770996094,-,-
5,Zenoh,N/A,clean_decoded_payload,66.76697731018066,-,-
5,Zenoh,N/A,extract_img_data,16.336679458618164,-,-
5,Zenoh,N/A,decompress_img,38.20991516113281,-,-
7,Pre-processing,N/A,preproc_det,21.17156982421875,-,-
7,Object Detection,YOLOv3,detection,16.47019386291504,60a607ed14b5aa0e1ef07e13,2
7,from_numpy,YOLOv3,detection,0.03266334533691406,60a607ed14b5aa0e1ef07e13,2
7,image4yolo,YOLOv3,detection,0.5385875701904297,60a607ed14b5aa0e1ef07e13,2
7,pred,YOLOv3,detection,14.377832412719727,60a607ed14b5aa0e1ef07e13,2
7,Extra Pipeline,PiH Candidate Selection,candidate_selection,2.9730796813964844,-,-
5,Zenoh,N/A,zenoh_pubsub,1000.1189708709717,-,-
7,End-to-End,N/A,e2e_latency,51.68485641479492,60a607ed14b5aa0e1ef07e13,2
5,Zenoh,N/A,compress_img,36.61,-,-
5,Scheduling,dynamic_round_robin,scheduling,36.91673278808594,60a607f714b5aa0e1ef07e14,3
6,Zenoh,N/A,decoding_payload,4.649877548217773,-,-
8,Pre-processing,N/A,preproc_det,24.905681610107422,-,-
6,Zenoh,N/A,clean_decoded_payload,62.981367111206055,-,-
,sorting,Sorting Network,scheduling,0.1766681671142578,-,-
8,Object Detection,YOLOv3,detection,13.768672943115234,60a607f714b5aa0e1ef07e14,3
8,from_numpy,YOLOv3,detection,0.031232833862304688,60a607f714b5aa0e1ef07e14,3
8,image4yolo,YOLOv3,detection,0.6501674652099609,60a607f714b5aa0e1ef07e14,3
8,pred,YOLOv3,detection,10.830163955688477,60a607f714b5aa0e1ef07e14,3
8,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.287481307983398,-,-
8,End-to-End,N/A,e2e_latency,55.46212196350098,60a607f714b5aa0e1ef07e14,3
6,Zenoh,N/A,extract_img_data,18.199443817138672,-,-
6,Zenoh,N/A,decompress_img,37.741661071777344,-,-
6,Zenoh,N/A,zenoh_pubsub,1229.6040058135986,-,-
6,Zenoh,N/A,compress_img,34.55,-,-
6,Scheduling,dynamic_round_robin,scheduling,45.2885627746582,60a607e214b5aa0e1ef07e12,1
9,Pre-processing,N/A,preproc_det,16.844511032104492,-,-
9,Object Detection,YOLOv3,detection,13.842582702636719,60a607e214b5aa0e1ef07e12,1
9,from_numpy,YOLOv3,detection,0.03504753112792969,60a607e214b5aa0e1ef07e12,1
9,image4yolo,YOLOv3,detection,0.4763603210449219,60a607e214b5aa0e1ef07e12,1
9,pred,YOLOv3,detection,10.773897171020508,60a607e214b5aa0e1ef07e12,1
9,Extra Pipeline,PiH Candidate Selection,candidate_selection,7.170677185058594,-,-
9,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.016927719116210938,-,-
9,End-to-End,N/A,e2e_latency,55.65190315246582,60a607e214b5aa0e1ef07e12,1
7,Zenoh,N/A,decoding_payload,4.823207855224609,-,-
7,Zenoh,N/A,clean_decoded_payload,58.14337730407715,-,-
7,Zenoh,N/A,extract_img_data,15.627861022949219,-,-
7,Zenoh,N/A,decompress_img,33.60438346862793,-,-
10,Pre-processing,N/A,preproc_det,18.16391944885254,-,-
,sorting,Sorting Network,scheduling,0.16999244689941406,-,-
10,Object Detection,YOLOv3,detection,13.68260383605957,60a607ed14b5aa0e1ef07e13,2
10,from_numpy,YOLOv3,detection,0.0324249267578125,60a607ed14b5aa0e1ef07e13,2
10,image4yolo,YOLOv3,detection,0.4756450653076172,60a607ed14b5aa0e1ef07e13,2
7,Zenoh,N/A,zenoh_pubsub,1478.1484603881836,-,-
10,pred,YOLOv3,detection,10.061502456665039,60a607ed14b5aa0e1ef07e13,2
10,Extra Pipeline,PiH Candidate Selection,candidate_selection,7.472753524780273,-,-
10,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.0209808349609375,-,-
10,End-to-End,N/A,e2e_latency,52.21414566040039,60a607ed14b5aa0e1ef07e13,2
7,Zenoh,N/A,compress_img,34.305,-,-
7,Scheduling,dynamic_round_robin,scheduling,43.561697006225586,60a607ed14b5aa0e1ef07e13,2
8,Zenoh,N/A,decoding_payload,4.792213439941406,-,-
8,Zenoh,N/A,clean_decoded_payload,57.001590728759766,-,-
8,Zenoh,N/A,extract_img_data,11.675596237182617,-,-
8,Zenoh,N/A,decompress_img,38.466453552246094,-,-
11,Pre-processing,N/A,preproc_det,18.8295841217041,-,-
11,Object Detection,YOLOv3,detection,13.764619827270508,60a607f714b5aa0e1ef07e14,3
11,from_numpy,YOLOv3,detection,0.032901763916015625,60a607f714b5aa0e1ef07e14,3
8,Zenoh,N/A,zenoh_pubsub,1726.240634918213,-,-
11,image4yolo,YOLOv3,detection,0.675201416015625,60a607f714b5aa0e1ef07e14,3
11,pred,YOLOv3,detection,9.344816207885742,60a607f714b5aa0e1ef07e14,3
11,Extra Pipeline,PiH Candidate Selection,candidate_selection,3.332853317260742,-,-
11,End-to-End,N/A,e2e_latency,47.724246978759766,60a607f714b5aa0e1ef07e14,3
8,Zenoh,N/A,compress_img,33.815,-,-
8,Scheduling,dynamic_round_robin,scheduling,43.7321662902832,60a607f714b5aa0e1ef07e14,3
9,Zenoh,N/A,decoding_payload,4.707813262939453,-,-
12,Pre-processing,N/A,preproc_det,18.822431564331055,-,-
12,Object Detection,YOLOv3,detection,17.02284812927246,60a607e214b5aa0e1ef07e12,1
12,from_numpy,YOLOv3,detection,0.0362396240234375,60a607e214b5aa0e1ef07e12,1
,sorting,Sorting Network,scheduling,0.2353191375732422,-,-
12,image4yolo,YOLOv3,detection,0.6754398345947266,60a607e214b5aa0e1ef07e12,1
12,pred,YOLOv3,detection,14.222860336303711,60a607e214b5aa0e1ef07e12,1
12,Extra Pipeline,PiH Candidate Selection,candidate_selection,7.435083389282227,-,-
12,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.023603439331054688,-,-
12,End-to-End,N/A,e2e_latency,57.7390193939209,60a607e214b5aa0e1ef07e12,1
9,Zenoh,N/A,clean_decoded_payload,55.419206619262695,-,-
9,Zenoh,N/A,extract_img_data,10.522842407226562,-,-
9,Zenoh,N/A,decompress_img,39.7493839263916,-,-
9,Zenoh,N/A,zenoh_pubsub,1947.6399421691895,-,-
13,Pre-processing,N/A,preproc_det,13.002634048461914,-,-
13,Object Detection,YOLOv3,detection,13.714075088500977,60a607ed14b5aa0e1ef07e13,2
13,from_numpy,YOLOv3,detection,0.03218650817871094,60a607ed14b5aa0e1ef07e13,2
13,image4yolo,YOLOv3,detection,0.5047321319580078,60a607ed14b5aa0e1ef07e13,2
13,pred,YOLOv3,detection,10.08296012878418,60a607ed14b5aa0e1ef07e13,2
13,Extra Pipeline,PiH Candidate Selection,candidate_selection,12.019872665405273,-,-
13,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.020742416381835938,-,-
13,End-to-End,N/A,e2e_latency,50.89855194091797,60a607ed14b5aa0e1ef07e13,2
9,Zenoh,N/A,compress_img,34.331,-,-
9,Scheduling,dynamic_round_robin,scheduling,55.88388442993164,60a607e214b5aa0e1ef07e12,1
14,Pre-processing,N/A,preproc_det,13.457059860229492,-,-
14,Object Detection,YOLOv3,detection,13.742208480834961,60a607f714b5aa0e1ef07e14,3
14,from_numpy,YOLOv3,detection,0.03337860107421875,60a607f714b5aa0e1ef07e14,3
,sorting,Sorting Network,scheduling,0.19240379333496094,-,-
14,image4yolo,YOLOv3,detection,0.6983280181884766,60a607f714b5aa0e1ef07e14,3
14,pred,YOLOv3,detection,9.426593780517578,60a607f714b5aa0e1ef07e14,3
14,Extra Pipeline,PiH Candidate Selection,candidate_selection,7.810115814208984,-,-
14,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.015974044799804688,-,-
14,End-to-End,N/A,e2e_latency,46.09251022338867,60a607f714b5aa0e1ef07e14,3
10,Zenoh,N/A,decoding_payload,5.035877227783203,-,-
10,Zenoh,N/A,clean_decoded_payload,43.352603912353516,-,-
10,Zenoh,N/A,extract_img_data,10.818243026733398,-,-
10,Zenoh,N/A,decompress_img,42.838335037231445,-,-
