FrameID,Uncompressed,Compressed
1,5.93,0.96588
2,5.93,0.93997
3,5.93,0.9193
4,5.93,0.9457000000000001
5,5.93,0.9517
6,5.93,0.9730700000000001
7,5.93,0.96987
8,5.93,1.00641
9,5.93,1.01605
10,5.93,1.0206
11,5.93,1.02
12,5.93,0.9145599999999999
13,5.93,0.91022
14,5.93,0.8818400000000001
15,5.93,0.87295
16,5.93,0.8531299999999999
17,5.93,0.87079
18,5.93,0.8551599999999999
19,5.93,0.8268099999999999
20,5.93,0.84877
21,5.93,0.8593200000000001
22,5.93,0.88412
23,5.93,0.877
24,5.93,0.83508
25,5.93,0.8745299999999999
26,5.93,0.90486
27,5.93,1.14
28,5.93,1.15
29,5.93,1.16
30,5.93,1.16
31,5.93,1.15
32,5.93,1.15
33,5.93,1.16
34,5.93,1.16
35,5.93,1.16
36,5.93,1.16
37,5.93,1.16
38,5.93,1.16
39,5.93,1.16
40,5.93,1.16
41,5.93,1.16
42,5.93,1.17
43,5.93,1.17
44,5.93,1.17
45,5.93,1.17
46,5.93,1.17
47,5.93,1.17
48,5.93,1.18
49,5.93,1.18
50,5.93,1.17
51,5.93,1.17
52,5.93,1.18
53,5.93,1.17
54,5.93,1.17
55,5.93,1.17
56,5.93,1.16
57,5.93,1.16
58,5.93,1.16
59,5.93,1.15
60,5.93,1.15
61,5.93,1.15
62,5.93,1.14
63,5.93,1.14
64,5.93,1.14
65,5.93,1.14
66,5.93,1.15
67,5.93,1.14
68,5.93,1.14
69,5.93,1.14
70,5.93,1.14
71,5.93,1.14
72,5.93,1.14
73,5.93,1.14
74,5.93,1.14
75,5.93,1.14
76,5.93,1.14
77,5.93,1.13
78,5.93,1.14
79,5.93,1.13
80,5.93,1.13
81,5.93,1.13
82,5.93,1.13
83,5.93,1.13
84,5.93,1.13
85,5.93,1.13
86,5.93,1.13
87,5.93,1.13
88,5.93,1.13
89,5.93,1.14
90,5.93,1.14
91,5.93,1.13
92,5.93,1.13
93,5.93,1.13
94,5.93,1.13
95,5.93,1.13
96,5.93,1.13
97,5.93,1.13
98,5.93,1.13
99,5.93,1.13
100,5.93,1.13
101,5.93,1.13
102,5.93,1.12
103,5.93,1.13
104,5.93,1.12
105,5.93,1.13
106,5.93,1.12
107,5.93,1.13
108,5.93,1.12
109,5.93,1.13
110,5.93,1.12
111,5.93,1.12
112,5.93,1.12
113,5.93,1.12
114,5.93,1.12
115,5.93,1.12
116,5.93,1.12
117,5.93,1.12
118,5.93,1.12
119,5.93,1.12
120,5.93,1.12
121,5.93,1.12
122,5.93,1.12
123,5.93,1.12
124,5.93,1.12
125,5.93,1.08
126,5.93,1.1
127,5.93,1.1
128,5.93,1.12
129,5.93,1.12
130,5.93,1.11
131,5.93,1.14
132,5.93,1.16
133,5.93,1.16
134,5.93,1.19
135,5.93,1.18
136,5.93,1.17
137,5.93,1.15
138,5.93,1.12
